,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
43,3.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,8.0
44,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,9.0
45,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,5.0,2.0,10.0
46,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0
47,3.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,8.0
48,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,8.0
49,4.0,2.0,4.0,5.0,1.0,2.0,4.0,,5.0,4.0,3.0,2.0,2.0,4.0,8.0
50,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,8.0
51,3.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,7.0
52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,8.0
53,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,9.0
54,5.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0,3.0
55,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,8.0
56,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
57,5.0,3.0,1.0,4.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,7.0
58,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,7.0
59,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,9.0
60,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0
61,3.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
