,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
44,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,9.0
45,5,5.0,5,5,5.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,9.0
46,5,4.0,4,4,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0
47,4,4.0,3,5,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0
48,4,2.0,4,5,3.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,10.0
49,5,4.0,4,5,3.0,4.0,5.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,9.0
50,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
51,4,3.0,3,5,4.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,8.0
52,4,4.0,5,5,2.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,9.0
53,5,4.0,4,5,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,9.0
54,4,2.0,4,5,3.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,8.0
55,5,3.0,5,3,2.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,5.0,8.0
56,3,3.0,2,3,1.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0
57,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0
58,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
59,5,4.0,4,5,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,8.0
60,5,3.0,5,5,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,10.0
61,5,4.0,5,5,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,10.0
62,5,4.0,4,5,3.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,6.0
63,5,5.0,4,4,3.0,4.0,,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
64,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,10.0
65,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
66,4,5.0,5,5,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
67,5,5.0,5,5,4.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,9.0
68,5,4.0,3,5,4.0,3.0,5.0,2.0,2.0,5.0,5.0,3.0,3.0,4.0,8.0
77,5,5.0,5,5,5.0,5.0,5.0,5.0,,,,,,,
2,5,4.0,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0
3,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,10.0
4,5,4.0,5,5,3.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,6.0
5,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
6,5,5.0,5,5,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,8.0
7,5,5.0,5,5,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,10.0
8,5,4.0,4,5,2.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,8.0
